Sample,X,Y,Z
249,0.090,-1.172,-0.250
250,-0.094,-0.891,-0.254
251,-0.109,-0.867,-0.219
252,0.125,-0.969,-0.031
253,0.191,-0.980,0.082
254,0.035,-1.023,-0.082
255,-0.098,-0.891,-0.043
256,-0.070,-0.926,0.051
257,0.059,-0.957,0.191
258,0.102,-0.949,0.316
259,-0.020,-0.816,0.203
260,0.016,-0.984,0.211
261,-0.004,-0.945,0.141
262,-0.004,-0.969,0.117
263,0.031,-0.797,0.184
264,0.055,-0.914,0.102
265,0.117,-1.078,-0.078
266,0.117,-1.078,-0.078
267,-0.070,-1.023,-0.152
268,-0.074,-0.859,0.047
269,-0.008,-0.852,-0.031
270,0.098,-0.977,0.062
271,-0.043,-0.836,-0.090
272,-0.059,-1.078,-0.309
273,-0.070,-0.938,-0.234
274,-0.137,-0.984,-0.332
275,0.023,-1.059,-0.094
276,0.117,-0.852,0.168
277,-0.012,-1.102,-0.016
278,-0.152,-0.777,-0.117
279,0.020,-1.039,-0.035
280,-0.004,-0.969,-0.066
281,0.090,-0.949,0.172
282,0.059,-0.852,0.258
283,-0.098,-0.793,0.086
284,0.035,-1.105,0.047
285,0.133,-0.914,0.195
286,0.070,-1.047,0.141
287,-0.109,-0.715,0.039
288,0.152,-0.977,0.223
289,0.016,-0.910,0.086
290,0.082,-0.992,-0.004
291,0.000,-0.902,-0.141
292,0.016,-1.031,-0.148
293,-0.020,-1.039,-0.199
294,-0.039,-1.059,-0.094
295,-0.035,-0.891,0.043
296,-0.129,-0.633,0.051
297,0.105,-1.027,-0.031
298,0.070,-1.074,-0.227
299,-0.129,-1.148,-0.430
300,-0.207,-0.859,-0.316
301,0.094,-0.922,0.117
302,0.230,-0.973,0.266
303,0.066,-0.961,0.191
304,-0.137,-0.801,0.074
305,-0.176,-0.855,-0.129
306,0.180,-1.219,0.004
307,0.016,-0.863,0.133
308,-0.008,-0.898,0.176
309,-0.020,-0.730,0.277
310,0.043,-0.941,0.191
311,-0.168,-1.004,-0.102
312,-0.062,-1.070,-0.070
313,-0.016,-0.832,0.047
314,0.012,-1.016,0.074
315,0.008,-0.961,0.102
316,-0.082,-0.871,-0.043
317,-0.031,-0.914,-0.023
318,0.004,-0.891,-0.090
319,0.047,-1.145,-0.273
320,0.059,-1.031,-0.180
321,-0.035,-1.008,-0.102
322,-0.035,-0.797,0.109
323,0.070,-0.809,0.188
324,0.176,-0.965,0.125
325,-0.074,-0.926,-0.172
326,0.016,-1.070,-0.211
327,-0.023,-0.895,-0.074
328,0.062,-1.113,-0.020
329,-0.027,-0.793,0.207
330,-0.035,-0.898,0.180
331,-0.039,-0.871,0.172
332,0.020,-0.906,0.156
333,-0.062,-0.961,-0.145
334,-0.227,-0.875,-0.359
335,-0.016,-0.941,-0.328
336,0.008,-0.910,-0.430
337,0.000,-1.008,-0.559
338,0.000,-1.008,-0.559
339,-0.070,-0.867,-0.621
340,-0.105,-1.023,-0.832
341,-0.027,-0.895,-0.875
342,-0.043,-1.008,-1.035
343,-0.020,-1.078,-1.113
344,-0.012,-0.875,-0.918
345,0.020,-1.012,-0.918
346,0.113,-1.051,-0.859
347,-0.043,-1.039,-0.930
348,-0.078,-0.980,-0.840
349,-0.047,-0.969,-0.578
350,0.102,-1.023,-0.281
351,0.027,-0.879,-0.137
352,-0.090,-0.855,-0.160
353,-0.152,-0.742,-0.180
354,-0.023,-1.043,-0.242
355,0.012,-0.922,-0.082
356,-0.090,-0.879,-0.141
357,-0.059,-0.836,-0.043
358,0.000,-0.770,-0.047
359,0.086,-1.062,-0.176
360,-0.023,-0.816,-0.316
361,-0.129,-1.102,-0.668
362,0.020,-1.012,-0.578
363,0.117,-1.094,-0.566
364,-0.008,-0.984,-0.605
365,-0.023,-0.715,-0.457
366,-0.027,-0.957,-0.758
367,-0.012,-1.020,-0.898
368,-0.035,-1.035,-0.957
369,-0.180,-0.902,-1.012
370,-0.082,-0.871,-0.781
371,0.074,-0.992,-0.590
372,0.086,-1.023,-0.551
373,-0.078,-0.930,-0.582
374,-0.062,-0.945,-0.523
375,0.039,-1.016,-0.383
376,0.082,-1.066,-0.340
377,-0.016,-0.965,-0.227
378,-0.055,-0.777,-0.062
379,-0.039,-0.871,-0.098
380,0.012,-0.938,-0.148
381,-0.059,-0.941,-0.230
382,-0.094,-0.914,-0.340
383,-0.125,-0.863,-0.309
384,-0.008,-0.949,-0.238
385,-0.078,-0.812,-0.348
386,-0.078,-0.812,-0.348
387,-0.066,-0.871,-0.535
388,0.023,-0.906,-0.551
389,0.039,-1.184,-0.812
390,-0.055,-1.094,-0.883
391,-0.051,-0.887,-0.801
392,-0.016,-0.941,-0.758
393,0.176,-0.938,-0.609
394,0.160,-1.090,-0.707
395,-0.066,-1.078,-0.855
396,-0.121,-0.898,-0.777
397,-0.020,-0.961,-0.609
398,0.195,-0.918,-0.305
399,0.020,-0.820,-0.383
400,-0.012,-1.020,-0.391
401,-0.086,-0.836,-0.422
402,-0.055,-1.086,-0.406
403,0.047,-0.848,-0.082
404,0.105,-0.887,-0.031
405,-0.016,-0.898,-0.262
406,-0.055,-1.020,-0.258
407,-0.164,-1.043,-0.508
408,-0.242,-0.793,-0.562
409,0.062,-0.852,-0.273
410,0.188,-0.895,-0.172
411,0.035,-1.055,-0.445
412,-0.289,-1.152,-0.938
413,-0.332,-0.934,-0.812
414,-0.070,-0.785,-0.426
415,0.336,-0.906,0.039
416,0.371,-1.062,-0.016
417,-0.152,-1.188,-0.605
418,-0.344,-0.953,-0.531
419,0.031,-0.809,0.109
420,0.465,-1.035,0.656
421,0.320,-0.977,0.625
422,-0.152,-0.879,0.117
423,-0.312,-0.719,0.020
424,0.078,-0.918,0.387
425,0.410,-1.164,0.633
426,0.016,-0.910,0.348
427,-0.453,-0.609,-0.031
428,-0.121,-0.719,0.148
429,0.355,-1.238,0.203
430,0.039,-1.203,-0.207
431,-0.340,-0.730,-0.297
432,-0.113,-0.777,-0.141
433,0.262,-1.191,-0.121
434,0.090,-1.180,-0.258
435,-0.246,-0.797,-0.379
436,-0.133,-0.805,-0.262
437,0.199,-1.121,-0.141
438,0.051,-1.152,-0.191
439,-0.207,-0.816,-0.133
440,-0.059,-0.660,0.195
441,0.176,-0.938,0.254
442,0.113,-1.113,0.047
443,-0.082,-0.918,0.020
444,-0.109,-0.781,0.129
445,0.098,-0.969,0.223
446,0.199,-1.098,0.258
447,0.051,-0.918,0.215
448,-0.043,-0.801,0.113
449,-0.008,-0.961,-0.027
450,0.027,-1.098,-0.113
451,0.035,-0.988,-0.066
452,0.004,-0.879,-0.043
453,-0.055,-0.895,-0.125
454,-0.016,-0.938,-0.129
455,0.047,-0.922,-0.090
456,0.023,-0.926,-0.102
457,-0.023,-1.027,-0.184
458,-0.023,-1.027,-0.184
459,0.027,-1.020,-0.113
460,0.043,-0.906,0.055
461,0.051,-0.852,0.160
462,-0.004,-0.914,0.086
463,-0.016,-0.992,0.016
464,-0.008,-0.969,0.035
465,-0.035,-0.934,0.043
466,-0.066,-0.926,0.062
467,-0.012,-0.918,0.152
468,0.020,-0.922,0.152
469,-0.020,-0.930,0.047
470,-0.059,-0.969,-0.066
471,-0.023,-0.992,-0.074
472,0.027,-0.988,-0.020
473,0.031,-0.953,-0.023
474,0.004,-0.922,-0.051
475,0.012,-0.941,-0.059
476,0.047,-0.953,-0.035
477,0.047,-0.953,-0.043
478,0.023,-0.926,-0.039
479,0.035,-0.938,0.004
480,0.043,-0.938,0.035
481,0.035,-0.914,0.086
482,-0.012,-0.906,0.066
483,0.016,-0.938,0.098
484,0.012,-0.969,0.047
485,0.008,-0.980,-0.008
486,-0.027,-0.938,0.059
487,-0.035,-0.930,0.039
488,-0.020,-0.953,0.027
489,-0.020,-0.984,-0.016
490,-0.039,-0.973,-0.039
491,-0.062,-0.945,-0.066
492,-0.035,-0.953,-0.027
493,0.008,-0.953,0.023
494,0.008,-0.934,0.051
495,-0.023,-0.910,0.023
496,-0.020,-0.914,0.000
497,0.004,-0.945,0.000
498,0.023,-0.945,0.016
499,0.012,-0.926,0.035
500,0.004,-0.922,0.059
501,0.016,-0.945,0.074
502,0.039,-0.961,0.066
503,0.020,-0.957,0.070
504,0.035,-0.953,0.066
505,0.012,-0.957,0.023
506,-0.016,-0.969,0.004
507,-0.043,-0.945,0.012
508,-0.016,-0.926,-0.023
509,-0.020,-0.938,0.035
510,-0.016,-0.969,0.008
511,-0.027,-0.949,-0.004
512,-0.035,-0.941,0.004
513,-0.016,-0.926,0.023
514,0.008,-0.945,0.035
515,-0.012,-0.973,0.031
516,-0.023,-0.934,0.027
517,-0.016,-0.930,0.055
518,0.000,-0.941,0.070
519,0.008,-0.938,0.082
520,0.012,-0.926,0.055
521,-0.012,-0.941,0.031
522,-0.016,-0.934,0.027
523,-0.004,-0.941,0.031
524,-0.012,-0.949,0.012
525,-0.012,-0.949,0.020
526,-0.012,-0.969,0.012
527,-0.004,-0.949,0.023
528,-0.004,-0.949,0.023
529,-0.012,-0.965,-0.016
530,-0.012,-0.957,0.004
531,0.004,-0.953,0.031
532,-0.016,-0.938,0.023
533,-0.012,-0.949,-0.012
534,-0.008,-0.934,0.039
535,-0.020,-0.934,0.043
536,-0.012,-0.918,0.055
537,-0.012,-0.941,0.043
538,-0.008,-0.957,0.039
539,-0.004,-0.941,0.043
540,-0.008,-0.938,0.023
541,-0.012,-0.949,0.027
542,0.000,-0.945,0.020
543,-0.012,-0.961,0.016
544,-0.004,-0.953,0.031
545,-0.008,-0.953,0.035
546,-0.008,-0.945,0.027
547,-0.004,-0.945,0.023
548,-0.008,-0.949,0.016
549,-0.012,-0.934,0.000
550,-0.008,-0.941,0.000
551,0.000,-0.945,0.027
552,0.035,-0.949,0.070
553,-0.012,-0.941,0.004
554,0.016,-0.945,0.062
555,0.016,-0.941,0.055
556,-0.004,-0.961,0.055
557,-0.016,-0.965,0.004
558,-0.012,-0.945,-0.008
559,-0.020,-0.934,0.004
560,-0.008,-0.949,0.023
561,-0.004,-0.945,0.035
562,-0.012,-0.941,0.020
563,-0.023,-0.941,0.016
564,-0.012,-0.930,0.031
565,0.000,-0.945,0.031
566,-0.004,-0.953,0.023
567,-0.012,-0.934,0.016
568,-0.016,-0.949,0.008
569,-0.008,-0.934,0.012
570,-0.004,-0.945,0.023
571,0.008,-0.941,0.039
572,0.004,-0.934,0.035
573,0.008,-0.957,0.020
574,0.008,-0.953,0.020
575,-0.008,-0.945,0.008
576,0.027,-0.953,0.027
577,0.012,-0.961,-0.016
578,0.000,-0.953,0.008
579,0.000,-0.934,0.004
580,-0.012,-0.949,0.047
581,0.008,-0.949,0.008
582,0.004,-0.953,0.020
583,-0.016,-0.953,-0.012
584,-0.020,-0.934,0.004
585,-0.004,-0.949,0.008
586,0.004,-0.938,0.000
587,-0.004,-0.930,0.012
588,-0.004,-0.941,0.008
589,0.000,-0.949,0.016
590,0.004,-0.945,0.020
591,0.008,-0.949,0.020
592,0.004,-0.938,0.016
593,0.004,-0.949,-0.008
594,-0.004,-0.949,-0.008
595,0.004,-0.949,-0.008
596,0.000,-0.941,-0.012
597,0.008,-0.949,0.016
598,0.004,-0.945,0.016
599,0.004,-0.949,0.004
600,-0.004,-0.949,0.016
601,0.016,-0.941,0.023
602,0.016,-0.941,0.023
603,0.000,-0.953,-0.004
604,0.004,-0.922,-0.004
605,0.000,-0.945,0.012
606,-0.012,-0.930,0.008
607,0.000,-0.941,0.000
608,0.004,-0.949,0.004
609,0.000,-0.938,0.016
610,0.008,-0.957,0.004
611,0.004,-0.938,0.000
612,0.012,-0.949,-0.004
613,0.000,-0.949,-0.020
614,0.004,-0.938,0.004
615,0.012,-0.949,0.004
616,0.004,-0.945,-0.004
617,0.004,-0.945,0.004
618,0.008,-0.945,0.000
619,0.008,-0.949,0.008
620,0.004,-0.945,0.000
621,-0.004,-0.941,-0.008
622,-0.004,-0.938,-0.012
623,0.004,-0.953,-0.016
624,0.004,-0.961,0.000
625,0.027,-0.922,0.027
626,-0.004,-0.938,0.008
627,0.012,-0.953,0.008
628,0.004,-0.957,0.020
629,0.000,-0.941,-0.039
630,-0.020,-0.934,-0.023
631,-0.004,-0.961,-0.020
632,0.000,-0.934,0.000
633,-0.008,-0.941,-0.004
634,0.012,-0.934,0.008
635,0.016,-0.965,-0.004
636,0.008,-0.949,0.004
637,0.004,-0.945,-0.004
638,0.004,-0.945,0.000
639,0.000,-0.941,0.004
640,0.008,-0.941,0.000
641,-0.004,-0.941,0.008
642,-0.004,-0.945,0.004
643,-0.004,-0.938,0.008
644,0.008,-0.941,0.008
645,0.004,-0.941,0.016
646,0.008,-0.938,0.008
647,0.004,-0.953,0.000
648,-0.012,-0.961,0.023
649,0.020,-0.961,-0.004
650,-0.027,-0.945,-0.066
651,-0.027,-0.945,0.035
652,0.012,-0.949,0.020
653,0.016,-0.941,0.020
654,-0.008,-0.949,-0.012
655,-0.004,-0.957,-0.016
656,0.004,-0.941,0.004
657,0.000,-0.945,0.004
658,-0.004,-0.930,0.008
659,-0.004,-0.945,0.012
660,0.000,-0.965,0.012
661,0.000,-0.949,0.008
662,0.000,-0.938,0.023
663,0.008,-0.938,0.039
664,0.008,-0.957,0.016
665,-0.004,-0.953,0.000
666,-0.023,-0.945,-0.012
667,-0.008,-0.953,-0.012
668,0.008,-0.941,0.016
669,-0.004,-0.957,0.000
670,-0.008,-0.930,0.027
671,0.000,-0.945,0.020
672,0.004,-0.973,0.023
673,0.004,-0.945,-0.020
674,-0.039,-0.938,-0.004
675,0.000,-0.945,-0.016
676,-0.004,-0.934,0.023
677,0.023,-0.938,0.012
678,-0.008,-0.934,0.012
679,-0.016,-0.934,0.012
680,-0.004,-0.949,0.008
681,0.008,-0.949,0.023
682,-0.004,-0.957,0.016
683,-0.008,-0.926,0.004
684,0.000,-0.961,0.016
685,-0.004,-0.941,0.020
686,-0.008,-0.945,0.020
687,-0.008,-0.938,0.035
688,-0.008,-0.945,0.027
689,-0.004,-0.941,0.023
690,-0.008,-0.934,0.027
691,-0.012,-0.941,0.012
692,-0.016,-0.938,0.012
693,0.000,-0.953,0.008
694,-0.008,-0.949,0.008
695,-0.008,-0.949,0.012
696,-0.027,-0.941,0.078
697,-0.004,-0.945,0.047
698,0.000,-0.953,0.047
699,-0.012,-0.934,0.020
700,-0.020,-0.949,0.016
701,-0.008,-0.938,0.031
702,-0.012,-0.949,0.012
703,-0.016,-0.934,0.020
704,-0.012,-0.949,0.012
705,0.004,-0.945,0.035
706,-0.004,-0.953,0.039
707,-0.004,-0.949,0.023
708,-0.008,-0.949,0.023
709,-0.012,-0.945,0.023
710,-0.016,-0.938,0.031
711,-0.016,-0.938,0.035
712,-0.008,-0.953,0.016
713,-0.004,-0.953,0.000
714,-0.016,-0.941,0.012
715,-0.008,-0.945,0.023
716,0.004,-0.949,0.031
717,-0.004,-0.945,0.023
718,-0.008,-0.953,0.016
719,-0.012,-0.949,0.023
720,0.000,-0.938,0.023
721,-0.008,-0.938,0.043
722,-0.020,-0.941,0.039
723,-0.016,-0.953,0.000
724,-0.020,-0.949,0.031
725,0.016,-0.945,0.047
726,-0.008,-0.941,0.027
727,-0.004,-0.949,0.035
728,-0.008,-0.953,0.008
729,-0.012,-0.945,0.016
730,-0.016,-0.938,0.016
731,-0.004,-0.934,0.027
732,-0.004,-0.953,0.031
733,-0.008,-0.938,0.031
734,-0.004,-0.949,0.020
735,0.004,-0.949,0.016
736,-0.004,-0.949,0.016
737,-0.016,-0.941,0.008
738,-0.004,-0.934,0.004
739,-0.004,-0.957,0.020
740,0.004,-0.941,0.031
741,-0.004,-0.945,0.035
742,0.000,-0.953,0.031
743,-0.004,-0.941,0.023
744,0.004,-0.945,0.031
745,-0.027,-0.941,0.035
746,-0.016,-0.949,0.023
747,-0.012,-0.945,0.020
748,-0.039,-0.945,0.039
749,-0.027,-0.934,-0.004
750,-0.004,-0.945,0.027
751,-0.004,-0.945,0.023
752,0.004,-0.949,0.016
753,-0.004,-0.949,0.016
754,0.000,-0.941,0.016
755,-0.004,-0.941,0.020
756,0.000,-0.941,0.023
757,-0.004,-0.938,0.027
758,-0.012,-0.941,0.016
759,0.000,-0.941,0.016
760,0.000,-0.949,0.020
761,0.008,-0.941,0.012
762,0.004,-0.949,0.004
763,-0.004,-0.949,-0.004
764,0.008,-0.938,0.012
765,-0.004,-0.949,0.016
766,0.008,-0.949,0.023
767,-0.012,-0.945,0.004
768,0.023,-0.934,0.066
769,-0.004,-0.938,0.016
770,-0.004,-0.973,-0.043
771,0.012,-0.922,0.004
772,-0.008,-0.945,-0.004
773,-0.004,-0.934,0.000
774,0.012,-0.957,0.023
775,0.000,-0.938,0.004
776,0.008,-0.945,0.016
777,0.004,-0.949,0.004
778,0.008,-0.941,0.023
779,0.012,-0.934,0.020
780,0.004,-0.953,0.004
781,0.008,-0.941,0.000
782,-0.004,-0.949,0.000
783,-0.008,-0.938,-0.008
784,0.000,-0.934,0.008
785,0.008,-0.934,0.000
786,0.004,-0.949,0.012
787,0.004,-0.953,0.000
788,0.000,-0.941,0.016
789,0.004,-0.938,0.020
790,0.012,-0.957,0.008
791,0.000,-0.945,0.016
792,0.016,-0.938,0.020
793,0.020,-0.941,0.086
794,-0.004,-0.941,0.039
795,-0.012,-0.949,0.016
796,0.020,-0.934,-0.008
797,0.004,-0.949,0.023
798,0.008,-0.949,-0.004
799,0.004,-0.945,0.008
800,0.004,-0.930,0.000
801,-0.004,-0.949,0.004
802,0.008,-0.949,0.000
803,0.012,-0.945,0.012
804,0.000,-0.945,0.012
805,0.008,-0.949,0.012
806,0.016,-0.949,0.004
807,0.000,-0.949,-0.016
808,0.008,-0.934,0.004
809,0.004,-0.945,0.008
810,0.012,-0.949,0.016
811,0.000,-0.953,0.000
812,0.000,-0.938,-0.004
813,0.004,-0.938,0.020
814,0.012,-0.941,0.020
815,0.012,-0.945,0.004
816,0.016,-0.938,-0.004
817,0.004,-0.941,-0.004
818,0.000,-0.957,-0.027
819,0.008,-0.949,0.000
820,0.031,-0.953,-0.008
821,-0.012,-0.941,0.055
822,0.008,-0.953,-0.004
823,0.008,-0.949,0.016
824,0.004,-0.957,0.004
825,-0.004,-0.938,0.012
826,0.000,-0.934,0.000
827,0.000,-0.949,0.004
828,0.008,-0.941,0.012
829,0.000,-0.945,-0.004
830,0.000,-0.945,0.004
831,0.004,-0.945,-0.008
832,0.004,-0.961,0.004
833,0.000,-0.945,0.016
834,0.000,-0.941,0.004
835,0.004,-0.945,0.020
836,-0.012,-0.945,0.000
837,-0.012,-0.934,0.008
838,-0.004,-0.941,0.012
839,0.008,-0.945,0.008
840,0.000,-0.949,0.031
841,-0.004,-0.930,-0.012
842,-0.012,-0.953,-0.016
843,0.008,-0.957,0.016
844,0.000,-0.941,0.020
845,0.012,-0.938,0.000
846,-0.008,-0.945,0.008
847,0.004,-0.965,0.012
848,0.008,-0.953,0.020
849,-0.004,-0.941,0.012
850,0.000,-0.938,0.020
851,-0.008,-0.953,0.008
852,-0.012,-0.941,0.004
853,-0.008,-0.938,0.012
854,-0.012,-0.930,0.004
855,-0.008,-0.953,0.012
856,-0.008,-0.941,0.027
857,-0.012,-0.953,0.012
858,0.000,-0.949,0.020
859,-0.004,-0.953,0.016
860,-0.008,-0.941,0.004
861,-0.008,-0.941,0.016
862,-0.008,-0.953,0.016
863,-0.004,-0.949,0.008
864,-0.016,-0.945,0.035
865,-0.008,-0.941,0.016
866,0.000,-0.945,0.047
867,-0.004,-0.953,-0.004
868,-0.027,-0.926,0.031
869,0.016,-0.953,0.023
870,-0.004,-0.949,0.004
871,-0.016,-0.938,0.016
872,-0.012,-0.934,0.016
873,-0.004,-0.941,0.016
874,0.000,-0.957,0.008
875,-0.016,-0.938,0.016
876,-0.012,-0.941,0.020
877,0.004,-0.941,0.008
878,-0.004,-0.953,0.008
879,-0.008,-0.945,0.016
880,-0.020,-0.938,0.016
881,-0.008,-0.949,0.027
882,-0.004,-0.953,0.031
