Sample,X,Y,Z
0,-0.004,-0.586,0.000
1,0.004,-0.953,0.008
2,0.004,-0.953,0.008
3,-0.012,-0.949,0.000
4,-0.008,-0.941,0.012
5,0.008,-0.930,0.023
6,0.000,-0.949,0.008
7,0.004,-0.949,0.020
8,0.000,-0.945,0.008
9,0.000,-0.934,0.008
10,0.004,-0.941,0.020
11,0.000,-0.945,0.020
12,-0.004,-0.945,0.016
13,-0.004,-0.941,0.012
14,0.004,-0.957,0.004
15,-0.004,-0.945,0.012
16,-0.008,-0.949,0.004
17,-0.008,-0.934,0.027
18,-0.004,-0.938,0.020
19,0.004,-0.953,0.012
20,-0.004,-0.953,-0.004
21,-0.012,-0.949,0.004
22,0.000,-0.941,0.027
23,0.004,-0.930,0.027
24,0.008,-0.949,0.023
25,0.000,-0.945,-0.012
26,-0.012,-0.949,0.008
27,-0.016,-0.941,0.008
28,0.023,-0.941,-0.008
29,0.000,-0.957,0.043
30,-0.008,-0.945,0.039
31,-0.004,-0.945,0.016
32,0.004,-0.965,0.000
33,-0.008,-0.934,0.012
34,-0.004,-0.941,0.016
35,0.000,-0.938,0.020
36,0.000,-0.941,0.016
37,-0.004,-0.949,0.008
38,-0.008,-0.945,0.008
39,-0.004,-0.941,0.016
40,-0.004,-0.945,0.020
41,0.000,-0.945,0.016
42,-0.008,-0.938,0.000
43,-0.008,-0.938,0.023
44,0.000,-0.941,0.012
45,0.004,-0.953,0.016
46,0.000,-0.934,0.020
47,0.000,-0.949,0.012
48,0.023,-0.945,0.047
49,0.004,-0.953,-0.004
50,0.012,-0.938,0.000
51,0.004,-0.941,0.051
52,0.004,-0.945,0.059
53,-0.004,-0.934,0.031
54,-0.008,-0.945,0.008
55,0.004,-0.941,0.023
56,-0.004,-0.953,0.004
57,0.000,-0.941,0.008
58,-0.004,-0.945,0.012
59,-0.008,-0.941,0.012
60,0.004,-0.949,0.020
61,0.004,-0.945,0.012
62,-0.012,-0.949,0.004
63,-0.004,-0.949,0.012
64,0.004,-0.949,0.008
65,-0.004,-0.941,0.012
66,-0.004,-0.938,0.016
67,-0.004,-0.938,0.008
68,-0.004,-0.953,0.020
69,0.000,-0.949,0.008
70,-0.004,-0.953,0.012
71,-0.008,-0.930,0.023
72,0.020,-0.953,0.055
73,0.012,-0.945,0.031
74,0.031,-0.941,-0.016
75,0.000,-0.945,-0.023
76,-0.004,-0.945,0.047
77,0.008,-0.953,0.004
78,0.004,-0.934,0.016
79,-0.008,-0.941,0.020
80,0.004,-0.945,0.004
81,-0.004,-0.953,0.004
82,-0.004,-0.949,0.004
83,-0.004,-0.934,0.023
84,0.000,-0.945,0.027
85,0.000,-0.945,0.012
86,-0.004,-0.949,0.012
87,-0.008,-0.953,0.012
88,0.000,-0.938,0.016
89,0.000,-0.938,0.020
90,-0.008,-0.941,0.016
91,-0.012,-0.949,0.023
92,0.004,-0.945,0.000
93,0.004,-0.949,0.008
94,-0.004,-0.949,0.012
95,-0.008,-0.941,0.016
96,0.012,-0.949,0.043
97,-0.004,-0.957,0.016
98,0.004,-0.934,0.059
99,0.000,-0.953,-0.016
100,-0.020,-0.945,0.023
101,0.000,-0.941,-0.023
102,-0.004,-0.941,0.004
103,-0.008,-0.941,0.016
104,-0.004,-0.957,0.008
105,0.008,-0.949,0.016
106,0.000,-0.941,0.008
107,-0.012,-0.941,0.004
108,-0.004,-0.969,0.020
109,0.082,-1.105,0.184
110,0.082,-1.117,0.422
111,0.008,-0.961,0.746
112,-0.004,-0.660,1.066
113,0.117,-0.672,1.195
114,0.254,-1.004,1.055
115,0.105,-1.305,0.699
116,-0.348,-1.074,0.477
117,-0.297,-0.707,1.008
118,0.184,-0.531,1.754
119,0.461,-0.793,1.742
120,0.004,-0.957,0.688
121,-0.527,-1.023,-0.152
122,-0.527,-1.023,-0.152
123,-0.387,-1.145,-0.160
124,0.055,-1.062,0.527
125,0.293,-0.777,1.109
126,0.113,-0.723,0.656
127,-0.188,-0.910,-0.090
128,-0.223,-1.262,-0.652
129,-0.191,-1.164,-0.266
130,0.148,-1.023,0.281
131,0.348,-0.898,0.672
132,0.062,-0.750,0.363
133,-0.004,-1.184,-0.047
134,-0.203,-0.898,0.047
135,-0.023,-0.934,0.520
136,0.191,-0.805,0.996
137,0.219,-0.887,0.926
138,0.105,-1.062,0.652
139,-0.066,-0.859,0.656
140,-0.020,-1.023,0.832
141,0.105,-0.844,1.180
142,0.102,-0.730,1.211
143,0.117,-0.984,0.844
144,0.039,-0.973,0.617
145,-0.062,-1.125,0.484
146,-0.062,-1.125,0.484
147,-0.219,-0.789,0.551
148,-0.008,-0.891,0.789
149,0.273,-0.969,0.859
150,0.027,-0.984,0.383
151,-0.195,-0.977,-0.023
152,-0.250,-0.941,0.035
153,-0.133,-0.875,0.289
154,0.070,-0.957,0.434
155,0.141,-0.988,0.422
156,-0.066,-0.906,0.086
157,-0.168,-0.938,0.082
158,-0.008,-1.008,0.285
159,-0.004,-1.055,0.371
160,0.098,-1.000,0.543
161,0.113,-0.898,0.699
162,0.047,-0.973,0.598
163,0.004,-1.000,0.688
164,-0.117,-0.867,0.750
165,0.016,-0.922,0.902
166,0.223,-0.848,1.184
167,0.020,-0.859,0.855
168,-0.141,-0.992,0.617
169,-0.066,-0.777,0.758
170,-0.047,-1.039,0.699
171,0.188,-0.793,0.891
172,0.074,-0.867,0.617
173,0.008,-1.098,0.340
174,-0.035,-0.855,0.324
175,0.004,-1.281,0.164
176,0.008,-0.844,0.465
177,0.074,-0.922,0.488
178,0.059,-0.871,0.441
179,0.047,-0.930,0.328
180,-0.117,-1.117,-0.031
181,-0.141,-0.914,0.184
182,0.043,-0.906,0.512
183,0.062,-0.949,0.523
184,0.086,-0.930,0.645
185,-0.098,-0.887,0.480
186,-0.047,-1.016,0.551
187,-0.062,-0.973,0.617
188,0.133,-0.988,0.824
189,-0.027,-0.750,0.684
190,0.020,-0.781,0.613
191,-0.062,-0.809,0.246
192,-0.066,-1.102,-0.059
193,-0.031,-0.957,-0.090
194,-0.023,-0.965,-0.148
195,0.074,-0.914,-0.090
196,0.020,-0.859,-0.246
197,0.070,-1.094,-0.430
198,0.020,-0.926,-0.445
199,0.109,-1.098,-0.555
200,0.074,-1.047,-0.574
201,0.082,-1.086,-0.465
202,0.008,-1.066,-0.359
203,-0.020,-0.832,-0.012
204,0.039,-0.809,0.203
205,0.016,-0.867,0.176
206,0.031,-0.945,0.148
207,-0.090,-0.977,0.031
208,-0.035,-1.008,0.215
209,-0.125,-0.895,0.289
210,0.004,-0.926,0.500
211,0.094,-0.824,0.715
212,-0.023,-0.910,0.547
213,-0.172,-0.910,0.258
214,-0.113,-0.938,0.250
215,-0.008,-0.934,0.242
216,0.070,-0.945,0.250
217,-0.012,-0.914,0.016
218,-0.031,-0.930,-0.152
219,0.027,-0.949,-0.184
220,0.016,-0.973,-0.270
221,0.086,-1.160,-0.414
222,0.098,-0.859,-0.172
223,-0.004,-0.926,-0.355
224,0.062,-1.035,-0.336
225,0.172,-0.844,-0.109
226,0.062,-1.137,-0.316
227,0.000,-0.914,-0.195
228,0.023,-0.980,-0.094
229,-0.023,-0.988,0.000
230,0.055,-0.945,0.195
231,0.051,-0.945,0.367
232,-0.133,-0.812,0.336
233,-0.090,-0.863,0.305
234,0.066,-0.965,0.328
235,-0.090,-1.027,0.160
236,-0.137,-0.938,0.113
237,-0.090,-0.785,0.359
238,-0.023,-0.957,0.324
239,-0.004,-0.902,0.348
240,-0.039,-0.766,0.219
241,-0.133,-0.977,-0.133
242,-0.133,-0.977,-0.133
243,0.039,-0.988,-0.191
244,0.027,-1.102,-0.223
245,-0.012,-0.922,-0.137
246,-0.051,-0.809,-0.180
247,0.035,-1.051,-0.238
248,0.188,-0.957,-0.090
