Sample,X,Y,Z
0,0.004,-0.934,0.008
1,-0.004,-0.945,0.000
2,0.004,-0.941,0.008
3,0.000,-0.938,0.020
4,0.000,-0.945,0.008
5,-0.004,-0.938,0.020
6,-0.004,-0.938,0.016
7,0.004,-0.941,0.008
8,0.008,-0.953,0.020
9,-0.008,-0.949,0.008
10,0.000,-0.934,0.012
11,0.008,-0.941,0.027
12,0.000,-0.934,0.020
13,0.000,-0.945,0.012
14,-0.004,-0.949,0.004
15,-0.004,-0.934,0.016
16,0.000,-0.945,0.016
17,0.004,-0.938,0.023
18,0.000,-0.934,0.012
19,0.008,-0.949,0.016
20,0.004,-0.938,0.020
21,-0.004,-0.930,0.012
22,-0.004,-0.941,0.008
23,0.004,-0.941,0.020
24,0.016,-0.934,0.008
25,0.004,-0.930,0.027
26,-0.031,-0.953,0.004
27,0.004,-0.949,0.008
28,-0.008,-0.945,0.047
29,-0.004,-0.930,0.004
30,-0.008,-0.938,0.016
31,0.004,-0.938,0.020
32,-0.004,-0.941,0.008
33,-0.004,-0.941,0.016
34,0.000,-0.930,0.016
35,-0.004,-0.953,0.004
36,0.000,-0.934,0.016
37,-0.004,-0.934,0.012
38,-0.004,-0.930,0.012
39,0.012,-0.945,0.012
40,0.000,-0.949,0.016
41,0.000,-0.941,0.012
42,-0.004,-0.945,0.012
43,0.004,-0.949,0.012
44,0.008,-0.941,0.016
45,-0.012,-0.945,0.016
46,-0.004,-0.941,0.012
47,0.004,-0.945,0.016
48,0.004,-0.957,0.043
49,0.008,-0.930,-0.012
50,0.016,-0.941,0.066
51,-0.023,-0.941,-0.016
52,0.012,-0.930,0.020
53,0.035,-0.922,0.031
54,-0.004,-0.938,0.016
55,0.000,-0.945,0.016
56,0.000,-0.945,0.012
57,0.004,-0.938,0.020
58,-0.004,-0.949,0.012
59,0.004,-0.926,0.020
60,0.000,-0.938,0.004
61,0.000,-0.938,0.000
62,-0.004,-0.934,0.012
63,-0.004,-0.949,0.008
64,0.004,-0.941,0.023
65,-0.004,-0.934,0.020
66,0.000,-0.938,0.012
67,0.000,-0.941,0.016
68,0.000,-0.938,0.008
69,0.008,-0.934,0.008
70,0.004,-0.938,0.004
71,0.000,-0.934,0.016
72,0.016,-0.945,0.039
73,-0.012,-0.938,0.023
74,-0.012,-0.953,0.016
75,-0.004,-0.949,0.031
76,-0.012,-0.930,0.016
77,-0.008,-0.949,0.043
78,-0.004,-0.941,-0.004
79,0.000,-0.934,0.008
80,0.000,-0.934,0.023
81,-0.004,-0.941,0.020
82,0.000,-0.941,0.016
83,0.000,-0.941,0.012
84,-0.008,-0.945,0.012
85,0.000,-0.938,0.016
86,-0.004,-0.949,0.023
87,0.000,-0.934,0.020
88,-0.004,-0.941,0.020
89,-0.004,-0.945,0.012
90,0.000,-0.945,0.008
91,0.008,-0.949,0.012
92,0.000,-0.941,0.020
93,-0.004,-0.945,0.012
94,0.008,-0.949,0.016
95,0.004,-0.941,0.004
96,-0.012,-0.953,0.012
97,-0.008,-0.926,0.004
98,0.027,-0.949,0.004
99,0.000,-0.941,-0.023
100,-0.020,-0.938,0.039
101,0.008,-0.941,-0.027
102,0.000,-0.949,0.008
103,0.000,-0.945,0.012
104,0.000,-0.938,0.016
105,0.000,-0.934,0.012
106,-0.004,-0.945,0.008
107,0.000,-0.953,0.012
108,0.000,-0.949,0.012
109,-0.004,-0.938,0.012
110,-0.004,-0.934,0.020
111,-0.004,-0.969,0.016
112,0.066,-1.105,0.152
113,0.082,-1.141,0.422
114,0.020,-0.984,0.758
115,0.008,-0.668,1.117
116,0.121,-0.641,1.254
117,0.246,-0.969,1.051
118,0.117,-1.316,0.684
119,-0.336,-1.094,0.426
120,-0.340,-0.742,0.906
121,0.199,-0.543,1.680
122,0.469,-0.754,1.723
123,0.012,-0.938,0.715
124,-0.512,-0.988,-0.129
125,-0.430,-1.113,-0.199
126,0.027,-1.145,0.395
127,0.312,-0.801,1.020
128,0.141,-0.758,0.680
129,-0.156,-0.844,0.020
130,-0.234,-1.156,-0.539
131,-0.199,-1.215,-0.281
132,0.078,-0.980,0.254
133,0.336,-0.953,0.641
134,0.102,-0.812,0.395
135,0.004,-1.109,0.012
136,-0.195,-0.898,0.074
137,-0.078,-0.895,0.457
138,0.203,-0.805,0.988
139,0.277,-0.895,0.941
140,0.125,-1.086,0.602
141,-0.043,-0.941,0.586
142,-0.125,-0.934,0.699
143,0.090,-0.812,1.223
144,0.250,-0.754,1.367
145,0.184,-1.008,0.879
146,-0.043,-1.012,0.492
147,-0.168,-1.023,0.375
148,-0.195,-0.816,0.562
149,0.141,-0.871,0.973
150,0.281,-0.941,0.918
151,-0.023,-0.984,0.352
152,-0.289,-0.957,-0.094
153,-0.227,-0.949,0.023
154,-0.082,-0.914,0.324
155,0.051,-0.914,0.473
156,0.180,-1.043,0.441
157,-0.008,-0.902,0.129
158,-0.176,-0.938,0.035
159,-0.160,-0.934,0.129
160,0.055,-1.043,0.387
161,0.191,-1.035,0.613
162,0.148,-0.938,0.684
163,0.043,-0.945,0.609
164,-0.109,-0.883,0.625
165,-0.020,-0.879,0.840
166,0.113,-0.938,0.996
167,0.160,-0.996,0.938
168,-0.035,-0.883,0.766
169,-0.109,-0.906,0.715
