Sample,X,Y,Z
204,-0.047,-0.844,0.043
205,-0.059,-0.797,0.074
206,0.055,-0.922,0.102
207,-0.027,-1.047,0.023
208,-0.055,-1.016,0.133
209,-0.055,-0.816,0.348
210,0.035,-0.887,0.570
211,0.051,-0.840,0.730
212,-0.004,-0.941,0.543
213,-0.164,-0.863,0.266
214,-0.137,-0.980,0.156
215,0.023,-1.004,0.188
216,0.082,-1.031,0.227
217,-0.074,-0.840,0.062
218,-0.156,-0.781,-0.078
219,0.102,-0.914,-0.082
220,0.105,-1.027,-0.195
221,-0.039,-1.203,-0.500
222,-0.090,-0.812,-0.398
223,0.000,-0.973,-0.328
224,0.176,-0.926,-0.086
225,0.250,-0.930,-0.066
226,0.062,-1.121,-0.336
227,-0.062,-0.871,-0.293
228,0.020,-1.027,-0.168
229,0.152,-1.078,0.043
230,0.113,-1.031,0.199
231,-0.105,-0.742,0.285
232,-0.121,-0.781,0.340
233,0.078,-0.824,0.488
234,-0.031,-1.035,0.191
235,-0.109,-1.020,0.094
236,-0.152,-0.898,0.129
237,-0.094,-0.977,0.230
238,-0.035,-0.852,0.367
239,0.000,-0.906,0.371
240,-0.082,-0.801,0.195
241,-0.062,-0.926,-0.027
242,0.035,-1.016,-0.164
243,-0.043,-1.055,-0.348
244,0.000,-0.996,-0.188
245,0.023,-0.773,-0.016
246,0.102,-0.898,-0.055
247,0.109,-1.047,-0.242
248,0.008,-1.043,-0.266
249,-0.027,-0.930,-0.293
250,0.066,-1.031,-0.215
251,0.121,-0.898,-0.020
252,0.090,-0.992,0.008
253,0.125,-0.945,0.043
254,0.000,-0.977,0.020
255,-0.090,-0.957,-0.016
256,0.008,-0.863,0.195
257,0.121,-1.055,0.242
258,-0.020,-0.883,0.188
259,-0.090,-0.840,0.195
260,-0.086,-0.777,0.223
261,0.059,-0.973,0.168
262,0.047,-0.973,0.094
263,-0.004,-0.961,-0.020
264,-0.043,-1.004,-0.039
265,0.012,-0.969,0.105
266,0.016,-0.945,0.125
267,0.004,-0.859,0.117
268,0.066,-0.840,0.074
269,-0.051,-0.980,-0.324
270,-0.039,-1.023,-0.270
271,-0.074,-0.984,-0.332
272,-0.023,-0.977,-0.188
273,0.090,-0.891,0.070
274,-0.027,-0.984,-0.070
275,-0.027,-0.906,0.008
276,-0.062,-0.863,-0.102
277,-0.051,-1.113,-0.270
278,0.184,-0.973,0.102
279,-0.023,-0.953,0.055
280,-0.020,-0.895,0.098
281,0.109,-0.793,0.324
282,0.105,-1.055,0.168
283,0.039,-0.957,0.152
284,0.000,-0.910,0.215
285,-0.043,-0.785,0.184
286,0.012,-0.828,0.137
287,-0.047,-1.059,-0.160
288,0.031,-0.910,0.027
289,-0.004,-0.934,-0.055
290,-0.016,-1.035,-0.121
291,0.016,-0.973,-0.074
292,0.031,-1.133,-0.117
293,0.000,-0.758,0.152
294,-0.031,-0.930,-0.129
295,0.023,-0.953,-0.133
296,0.027,-0.938,-0.164
297,-0.105,-1.082,-0.344
298,-0.055,-0.859,-0.074
299,0.023,-0.871,0.039
300,-0.020,-0.980,-0.047
301,0.098,-0.934,0.164
302,0.059,-0.926,0.117
303,-0.078,-0.996,-0.027
304,-0.004,-0.953,0.090
305,-0.039,-0.922,0.020
306,0.078,-0.914,0.160
307,0.082,-0.914,0.176
308,0.051,-1.004,0.180
309,-0.145,-0.883,0.082
310,-0.207,-0.895,-0.051
311,0.043,-0.809,0.180
312,0.094,-1.023,0.086
313,-0.031,-1.051,-0.055
314,-0.031,-1.051,-0.055
315,-0.191,-0.926,-0.266
316,-0.039,-0.828,-0.070
317,0.066,-0.898,0.062
318,0.152,-1.086,-0.074
319,0.055,-0.996,-0.109
320,-0.109,-1.023,-0.230
321,-0.082,-0.875,-0.086
322,0.074,-0.922,0.047
323,0.176,-0.855,0.160
324,0.047,-0.949,-0.031
325,-0.094,-0.945,-0.172
326,-0.141,-1.004,-0.227
327,0.027,-1.020,-0.066
328,0.094,-0.910,0.250
329,-0.012,-0.910,0.254
330,-0.062,-0.785,0.203
331,-0.008,-0.859,0.180
332,-0.098,-0.883,-0.164
333,-0.109,-1.012,-0.348
334,0.039,-0.859,-0.316
335,-0.055,-1.023,-0.605
336,0.000,-1.066,-0.648
337,-0.172,-0.949,-0.664
338,-0.066,-0.820,-0.582
339,0.004,-0.688,-0.703
340,0.133,-1.141,-0.984
341,-0.070,-1.258,-1.398
342,-0.199,-0.922,-1.219
343,-0.074,-0.941,-0.938
344,0.211,-0.934,-0.543
345,0.176,-1.008,-0.613
346,-0.086,-0.980,-0.812
347,-0.180,-0.980,-0.770
348,-0.035,-1.027,-0.496
349,0.098,-0.969,-0.176
350,0.086,-0.805,0.031
351,-0.117,-0.754,-0.141
352,-0.090,-0.926,-0.199
353,-0.031,-0.898,-0.125
354,-0.027,-1.043,-0.230
355,-0.020,-0.863,-0.137
356,0.008,-0.836,-0.125
357,0.027,-0.898,-0.129
358,0.004,-0.883,-0.238
359,-0.117,-1.070,-0.559
360,-0.043,-0.973,-0.562
361,0.000,-0.941,-0.555
362,0.078,-1.133,-0.637
363,-0.039,-0.891,-0.621
364,-0.156,-0.898,-0.824
365,-0.070,-0.863,-0.742
366,0.027,-0.957,-0.801
